index	promptID	pairID	genre	sentence1_binary_parse	sentence2_binary_parse	sentence1_parse	sentence2_parse	sentence1	sentence2	label1	label2	label3	label4	label5	gold_label
45	45	45	paper:GLUE:upward_monotone:World knowledge:lexical_knowledge					"""cruz has frequently derided as """"amnesty"""" various plans that confer legal status or citizenship on people living in the country illegally.""."	"""cruz has frequently derided as """"amnesty"""" various bills that confer legal status or citizenship on people living in the country illegally.""."						neutral
46	46	46	paper:GLUE:upward_monotone:World knowledge:lexical_knowledge					"""cruz has frequently derided as """"amnesty"""" various bills that confer legal status or citizenship on people living in the country illegally.""."	"""cruz has frequently derided as """"amnesty"""" various plans that confer legal status or citizenship on people living in the country illegally.""."						entailment
47	47	47	paper:GLUE:Intersectivity:upward_monotone					in many developed areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding.	in many areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding.						entailment
48	48	48	paper:GLUE:Intersectivity:upward_monotone					in many areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding.	in many developed areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding.						neutral
49	49	49	paper:GLUE:Intersectivity:upward_monotone					we consider some context words as positive examples and sample negatives at random from the dictionary.	we consider some words as positive examples and sample negatives at random from the dictionary.						entailment
50	50	50	paper:GLUE:Intersectivity:upward_monotone					we consider some words as positive examples and sample negatives at random from the dictionary.	we consider some context words as positive examples and sample negatives at random from the dictionary.						neutral
51	51	51	paper:GLUE:Intersectivity:downward_monotone					we consider all context words as positive examples and sample negatives at random from the dictionary.	we consider all words as positive examples and sample negatives at random from the dictionary.						neutral
52	52	52	paper:GLUE:Intersectivity:downward_monotone					we consider all words as positive examples and sample negatives at random from the dictionary.	we consider all context words as positive examples and sample negatives at random from the dictionary.						entailment
53	53	53	paper:GLUE:lexical_knowledge:downward_monotone					all dogs like to scratch their ears.	all animals like to scratch their ears.						neutral
54	54	54	paper:GLUE:downward_monotone					all animals like to scratch their ears.	all dogs like to scratch their ears.						entailment
55	55	55	paper:GLUE:downward_monotone:World knowledge:lexical_knowledge:npi					"""cruz has frequently derided as """"amnesty"""" any plan that confers legal status or citizenship on people living in the country illegally.""."	"""cruz has frequently derided as """"amnesty"""" any bill that confers legal status or citizenship on people living in the country illegally.""."						entailment
56	56	56	paper:GLUE:downward_monotone:World knowledge:lexical_knowledge:npi					"""cruz has frequently derided as """"amnesty"""" any bill that confers legal status or citizenship on people living in the country illegally.""."	"""cruz has frequently derided as """"amnesty"""" any plan that confers legal status or citizenship on people living in the country illegally.""."						neutral
57	57	57	paper:GLUE:Intersectivity:downward_monotone					in all areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding.	in all developed areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding.						entailment
58	58	58	paper:GLUE:Intersectivity:downward_monotone					in all developed areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding.	in all areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding.						neutral
59	59	59	paper:GLUE:Restrictivity:non_monotone:Common sense					the latest fatal incident, reported monday morning, killed a 17-year-old boy and wounded a woman.	the latest incident, reported monday morning, killed a 17-year-old boy and wounded a woman.						neutral
60	60	60	paper:GLUE:Restrictivity:non_monotone:Common sense					the latest incident, reported monday morning, killed a 17-year-old boy and wounded a woman.	the latest fatal incident, reported monday morning, killed a 17-year-old boy and wounded a woman.						entailment
61	61	61	paper:GLUE:Quantifiers:downward_monotone					no bathroom bill made it to abbott’s desk by the end of the legislative session in may.	no bills made it to abbott’s desk by the end of the legislative session in may.						neutral
62	62	62	paper:GLUE:Quantifiers:downward_monotone					no bills made it to abbott’s desk by the end of the legislative session in may.	no bathroom bill made it to abbott’s desk by the end of the legislative session in may.						entailment
63	63	63	paper:GLUE:Quantifiers:downward_monotone					no bathroom bill made it to abbott’s desk by the end of the legislative session in may.	a bill made it to abbott’s desk by the end of the legislative session in may.						neutral
64	64	64	paper:GLUE:Quantifiers:downward_monotone					a bill made it to abbott’s desk by the end of the legislative session in may.	no bathroom bill made it to abbott’s desk by the end of the legislative session in may.						neutral
65	65	65	paper:GLUE:Intersectivity:upward_monotone					missouri lawmakers are considering a government boycott of companies that boycott israel.	missouri lawmakers are considering a boycott of companies that boycott israel.						entailment
66	66	66	paper:GLUE:Intersectivity:upward_monotone					missouri lawmakers are considering a boycott of companies that boycott israel.	missouri lawmakers are considering a government boycott of companies that boycott israel.						neutral
67	67	67	paper:GLUE:non_monotone					the crown prince's mother wouldn't be the first saudi royal whose movements were restricted since june 2017.	the crown prince's mother wouldn't be the first royal whose movements were restricted since june 2017.						entailment
68	68	68	paper:GLUE:non_monotone					the crown prince's mother wouldn't be the first royal whose movements were restricted since june 2017.	the crown prince's mother wouldn't be the first saudi royal whose movements were restricted since june 2017.						neutral
69	69	69	paper:GLUE:Core args:non_monotone					last time i visited was nearly 6 months ago and i am still finding husky fur on my socks.	last time i visited my friend was nearly 6 months ago and i am still finding husky fur on my socks.						neutral
70	70	70	paper:GLUE:Core args:non_monotone					last time i visited my friend was nearly 6 months ago and i am still finding husky fur on my socks.	last time i visited was nearly 6 months ago and i am still finding husky fur on my socks.						neutral
71	71	71	paper:GLUE:Intersectivity:upward_monotone:conditionals					you know that some life changing actions must be taken when grandma reacts with the sad emoji.	you know that some actions must be taken when grandma reacts with the sad emoji.						entailment
72	72	72	paper:GLUE:Intersectivity:upward_monotone:conditionals					you know that some actions must be taken when grandma reacts with the sad emoji.	you know that some life changing actions must be taken when grandma reacts with the sad emoji.						neutral
73	73	73	paper:GLUE:Intersectivity:downward_monotone:conditionals					you know that some life changing actions must be taken when grandma reacts with the sad emoji.	you know that some life-changing actions must be taken when grandma reacts with emoji.						neutral
74	74	74	paper:GLUE:Intersectivity:downward_monotone:conditionals					you know that some life-changing actions must be taken when grandma reacts with emoji.	you know that some life changing actions must be taken when grandma reacts with the sad emoji.						entailment
75	75	75	paper:GLUE:downward_monotone					i have never seen a hummingbird not flying.	i have never seen a hummingbird.						neutral
76	76	76	paper:GLUE:downward_monotone					i have never seen a hummingbird.	i have never seen a hummingbird not flying.						entailment
77	77	77	paper:GLUE:lexical_knowledge:downward_monotone					i have never seen a hummingbird not flying.	i have never seen a bird not flying.						neutral
78	78	78	paper:GLUE:lexical_knowledge:downward_monotone					i have never seen a bird not flying.	i have never seen a hummingbird not flying.						entailment
79	79	79	paper:GLUE:Intervals/Numbers:non_monotone:Common sense:lexical_knowledge					just watched the first 15 minutes, got bored, skipped to the magic bit, it's funnier as a gif.	just watched the first quarter hour, got bored, skipped to the magic bit, it's funnier as a gif.						entailment
80	80	80	paper:GLUE:Intervals/Numbers:non_monotone:Common sense:lexical_knowledge					just watched the first quarter hour, got bored, skipped to the magic bit, it's funnier as a gif.	just watched the first 15 minutes, got bored, skipped to the magic bit, it's funnier as a gif.						entailment
81	81	81	paper:GLUE:Existential:upward_monotone					weird that you want to show something to a stack of papers.	weird that you want to show this video to a stack of papers.						neutral
82	82	82	paper:GLUE:Existential:upward_monotone					weird that you want to show this video to a stack of papers.	weird that you want to show something to a stack of papers.						entailment
83	83	83	paper:GLUE:Named entities:non_monotone:Common sense:lexical_knowledge					at the age of 24, she was betrothed to prince albert victor, duke of clarence and avondale, the eldest son of the prince of wales, but six weeks after the announcement of the engagement, he died unexpectedly of pneumonia.	at the age of 24, she was betrothed to prince albert victor, duke of clarence and avondale, the eldest child of the prince of wales, but six weeks after the announcement of the engagement, he died unexpectedly of pneumonia.						neutral
84	84	84	paper:GLUE:Named entities:non_monotone:Common sense:lexical_knowledge					at the age of 24, she was betrothed to prince albert victor, duke of clarence and avondale, the eldest child of the prince of wales, but six weeks after the announcement of the engagement, he died unexpectedly of pneumonia.	at the age of 24, she was betrothed to prince albert victor, duke of clarence and avondale, the eldest son of the prince of wales, but six weeks after the announcement of the engagement, he died unexpectedly of pneumonia.						entailment
85	85	85	paper:GLUE:non_monotone					at the age of 24, she was betrothed to prince albert victor, duke of clarence and avondale, the eldest son of the prince of wales, but six weeks after the announcement of the engagement, he died unexpectedly of pneumonia.	at the age of 24, she was betrothed to prince albert victor, duke of clarence and avondale, the eldest able-bodied son of the prince of wales, but six weeks after the announcement of the engagement, he died unexpectedly of pneumonia.						neutral
86	86	86	paper:GLUE:non_monotone					at the age of 24, she was betrothed to prince albert victor, duke of clarence and avondale, the eldest able-bodied son of the prince of wales, but six weeks after the announcement of the engagement, he died unexpectedly of pneumonia.	at the age of 24, she was betrothed to prince albert victor, duke of clarence and avondale, the eldest son of the prince of wales, but six weeks after the announcement of the engagement, he died unexpectedly of pneumonia.						neutral
87	87	87	paper:GLUE:Redundancy:Restrictivity:non_monotone					there are four supraocular scales (above the eyes) in almost all specimens and five supraciliary scales (immediately above the eyes, below the supraoculars).	there are four scales above the eyes in almost all specimens and five supraciliary scales (immediately above the eyes, below the supraoculars).						entailment
88	88	88	paper:GLUE:Redundancy:Restrictivity:non_monotone					there are four scales above the eyes in almost all specimens and five supraciliary scales (immediately above the eyes, below the supraoculars).	there are four supraocular scales (above the eyes) in almost all specimens and five supraciliary scales (immediately above the eyes, below the supraoculars).						entailment
89	89	89	paper:GLUE:lexical_knowledge:downward_monotone:Existential:Negation:npi					regional governors could not rely on the king for help in times of crisis, and the ensuing food shortages and political disputes escalated into famines and small-scale civil wars.	regional governors could not rely on anyone for help in times of crisis, and the ensuing food shortages and political disputes escalated into famines and small-scale civil wars.						neutral
90	90	90	paper:GLUE:lexical_knowledge:downward_monotone:Existential:Negation					regional governors could not rely on anyone for help in times of crisis, and the ensuing food shortages and political disputes escalated into famines and small-scale civil wars.	regional governors could not rely on the king for help in times of crisis, and the ensuing food shortages and political disputes escalated into famines and small-scale civil wars.						entailment
91	91	91	paper:GLUE:Redundancy:upward_monotone					the 15th tank corps was a tank corps of the soviet union's red army.	the 15th tank corps was a corps of the soviet union's red army.						entailment
92	92	92	paper:GLUE:Redundancy:upward_monotone					the 15th tank corps was a corps of the soviet union's red army.	the 15th tank corps was a tank corps of the soviet union's red army.						entailment
93	93	93	paper:GLUE:Redundancy:Intersectivity:upward_monotone:World knowledge:lexical_knowledge					in grounded communication tasks, speakers face pressures in choosing referential expressions that distinguish their targets from others in the context, leading to many kinds of pragmatic meaning enrichment.	in grounded communication tasks, speakers face pressures in choosing referential expressions that distinguish their targets from others in the context, leading to many kinds of meaning enrichment.						entailment
94	94	94	paper:GLUE:Redundancy:Intersectivity:upward_monotone:World knowledge:lexical_knowledge					in grounded communication tasks, speakers face pressures in choosing referential expressions that distinguish their targets from others in the context, leading to many kinds of meaning enrichment.	in grounded communication tasks, speakers face pressures in choosing referential expressions that distinguish their targets from others in the context, leading to many kinds of pragmatic meaning enrichment.						entailment
95	95	95	paper:GLUE:Restrictivity:non_monotone					while most successful approaches for reading comprehension rely on recurrent neural networks (rnns), running them over long documents is prohibitively slow because it is difficult to parallelize over sequences.	while most approaches for reading comprehension rely on recurrent neural networks (rnns), running them over long documents is prohibitively slow because it is difficult to parallelize over sequences.						neutral
96	96	96	paper:GLUE:Restrictivity:non_monotone					while most approaches for reading comprehension rely on recurrent neural networks (rnns), running them over long documents is prohibitively slow because it is difficult to parallelize over sequences.	while most successful approaches for reading comprehension rely on recurrent neural networks (rnns), running them over long documents is prohibitively slow because it is difficult to parallelize over sequences.						neutral
97	97	97	paper:GLUE:Conjunction:upward_monotone					understanding a long document requires tracking how entities are introduced and evolve over time.	understanding a long document requires understanding how entities are introduced.						entailment
98	98	98	paper:GLUE:Conjunction:upward_monotone					understanding a long document requires understanding how entities are introduced.	understanding a long document requires tracking how entities are introduced and evolve over time.						neutral
99	99	99	paper:GLUE:Intersectivity:downward_monotone					so there is no dedicated memory block for every entity and no distinction between entity mentions and non-mention words.	so there is no dedicated high-dimensional memory block for every entity and no distinction between entity mentions and non-mention words.						entailment
100	100	100	paper:GLUE:Intersectivity:downward_monotone					so there is no dedicated high-dimensional memory block for every entity and no distinction between entity mentions and non-mention words.	so there is no dedicated memory block for every entity and no distinction between entity mentions and non-mention words.						neutral
101	101	101	paper:GLUE:upward_monotone:npi					indeed, it is often stated that for humans to learn how to perform adequately in a domain, one example is enough from which to learn.	indeed, it is often stated that for humans to learn how to perform adequately in a domain, any number of examples is enough from which to learn.						neutral
102	102	102	paper:GLUE:upward_monotone					indeed, it is often stated that for humans to learn how to perform adequately in a domain, any number of examples is enough from which to learn.	indeed, it is often stated that for humans to learn how to perform adequately in a domain, one example is enough from which to learn.						neutral
103	103	103	paper:GLUE:Restrictivity:non_monotone					looking at pictures online of people trying to take photos of mirrors they want to sell is my new thing.	looking at pictures online of people trying to take photos of mirrors is my new thing.						neutral
104	104	104	paper:GLUE:Restrictivity:non_monotone					looking at pictures online of people trying to take photos of mirrors is my new thing.	looking at pictures online of people trying to take photos of mirrors they want to sell is my new thing.						neutral
105	105	105	paper:GLUE:Intersectivity:upward_monotone					a serene wind rolled across the glade.	a wind rolled across the glade.						entailment
106	106	106	paper:GLUE:Intersectivity:upward_monotone					a wind rolled across the glade.	a serene wind rolled across the glade.						neutral
107	107	107	paper:GLUE:Restrictivity:Relative clauses:downward_monotone					i don't want to have to keep entertaining people who don't value my time.	i don't want to have to keep entertaining people.						neutral
108	108	108	paper:GLUE:Restrictivity:Relative clauses:downward_monotone					i don't want to have to keep entertaining people.	i don't want to have to keep entertaining people who don't value my time.						entailment
109	109	109	paper:GLUE:Intersectivity:non_monotone					the first pleasurable experience i had interacting with another human being was at the age of seventeen.	the first experience i had interacting with another human being was at the age of seventeen.						neutral
110	110	110	paper:GLUE:Intersectivity:non_monotone					the first experience i had interacting with another human being was at the age of seventeen.	the first pleasurable experience i had interacting with another human being was at the age of seventeen.						neutral
111	111	111	paper:GLUE:Intersectivity:non_monotone					the first pleasurable experience i had interacting with another human being was at the age of seventeen.	the first displeasurable experience i had interacting with another human being was at the age of seventeen.						neutral
112	112	112	paper:GLUE:Intersectivity:non_monotone					the first displeasurable experience i had interacting with another human being was at the age of seventeen.	the first pleasurable experience i had interacting with another human being was at the age of seventeen.						neutral
113	113	113	paper:GLUE:Intersectivity:upward_monotone					the leading car gradually shifted to the left lane.	the leading car shifted to the left lane.						entailment
114	114	114	paper:GLUE:Intersectivity:upward_monotone					the leading car shifted to the left lane.	the leading car gradually shifted to the left lane.						neutral
115	115	115	paper:GLUE:lexical_knowledge:downward_monotone					the timing of the meeting has not been set, according to a starbucks spokesperson.	the timing of the meeting has not been considered, according to a starbucks spokesperson.						neutral
116	116	116	paper:GLUE:lexical_knowledge:downward_monotone					the timing of the meeting has not been considered, according to a starbucks spokesperson.	the timing of the meeting has not been set, according to a starbucks spokesperson.						entailment
117	117	117	paper:GLUE:Morphological negation:upward_monotone					some of the orator's statements were incomprehensible, but the crowd loved them.	some of the orator's statements were comprehensible, but the crowd loved them.						neutral
118	118	118	paper:GLUE:Morphological negation:upward_monotone					some of the orator's statements were comprehensible, but the crowd loved them.	some of the orator's statements were incomprehensible, but the crowd loved them.						neutral
119	119	119	paper:GLUE:upward_monotone:World knowledge:lexical_knowledge					there are some amazing hikes around mt. fuji.	there are some amazing hikes in japan.						entailment
120	120	120	paper:GLUE:upward_monotone:World knowledge:lexical_knowledge					there are some amazing hikes in japan.	there are some amazing hikes around mt. fuji.						neutral
121	121	121	paper:GLUE:upward_monotone:World knowledge:lexical_knowledge					there are some amazing hikes around mt. fuji.	there are some amazing hikes in nepal.						neutral
122	122	122	paper:GLUE:upward_monotone:World knowledge:lexical_knowledge					there are some amazing hikes in nepal.	there are some amazing hikes around mt. fuji.						neutral
123	123	123	paper:GLUE:lexical_knowledge:upward_monotone					there are some amazing hikes around mt. fuji.	there are some strenuous hikes around mt. fuji.						neutral
124	124	124	paper:GLUE:lexical_knowledge:upward_monotone					there are some strenuous hikes around mt. fuji.	there are some amazing hikes around mt. fuji.						neutral
125	125	125	paper:GLUE:Intersectivity:downward_monotone					an experienced sommelier knows the difference between the 2009 and 2013 vintage of a german riesling.	a sommelier knows the difference between the 2009 and 2013 vintage of a german riesling.						neutral
126	126	126	paper:GLUE:Intersectivity:downward_monotone					a sommelier knows the difference between the 2009 and 2013 vintage of a german riesling.	an experienced sommelier knows the difference between the 2009 and 2013 vintage of a german riesling.						entailment
127	127	127	paper:GLUE:Intersectivity:downward_monotone					an experienced sommelier knows the difference between the 2009 and 2013 vintage of a german riesling.	an italian sommelier knows the difference between the 2009 and 2013 vintage of a german riesling.						neutral
128	128	128	paper:GLUE:Intersectivity:downward_monotone					an italian sommelier knows the difference between the 2009 and 2013 vintage of a german riesling.	an experienced sommelier knows the difference between the 2009 and 2013 vintage of a german riesling.						neutral
129	129	129	paper:GLUE:Intersectivity:non_monotone					so far two of my cherry trees have already bloomed, and it's not even april.	so far two of my trees have already bloomed, and it's not even april.						neutral
130	130	130	paper:GLUE:Intersectivity:non_monotone					so far two of my trees have already bloomed, and it's not even april.	so far two of my cherry trees have already bloomed, and it's not even april.						neutral
131	131	131	crowd:downward_monotone:conjunction					colourless is a world without language.	the absence of color and the senses is a world without language.						neutral
132	132	132	crowd:downward_monotone					colourless is a world without language.	a life without colors that make our lives happy is a world without language.						neutral
133	133	133	crowd:upward_monotone:lexical_knowledge					i want to become a singer , at any cost.	i want to become a bad boy.						neutral
134	134	134	crowd:upward_monotone					some people say thirteen is an unlucky number.	some people say thirteen is an unlucky date to propose a girl.						neutral
135	135	135	crowd:upward_monotone:lexical_knowledge:npi					nancy ca n't decide anything for herself.	my friend ca n't decide anything for herself.						neutral
136	136	136	crowd:upward_monotone:lexical_knowledge:npi					nancy ca n't decide anything for herself.	this man ca n't decide anything for herself.						neutral
137	137	137	crowd:upward_monotone:anaphora					jack does n't drive fast.	that man does n't drive fast.						neutral
138	138	138	crowd:upward_monotone:lexical_knowledge					some children learn languages easily and others with difficulty.	some children learn math easily and others with difficulty.						neutral
139	139	139	crowd:upward_monotone:lexical_knowledge:reverse					i can not do without sugar in my coffee.	i can not do without milk in my coffee.						neutral
140	140	140	crowd:upward_monotone:lexical_knowledge:reverse					i can not do without sugar in my coffee.	i can not do without lemon in my coffee.						neutral
141	141	141	crowd:upward_monotone					some germans work for only one euro an hour.	some germans work for only one euro an hour without holiday pay.						neutral
142	142	142	crowd:upward_monotone					some germans work for only one euro an hour without holiday pay.	some germans work for only one euro an hour.						entailment
143	143	143	crowd:upward_monotone:lexical_knowledge:reverse					you ca n't live without oxygen.	you ca n't live without the atmosphere.						neutral
144	144	144	crowd:upward_monotone:lexical_knowledge:reverse					you ca n't live without oxygen.	you ca n't live without food.						neutral
145	145	145	crowd:upward_monotone:lexical_knowledge:reverse					you ca n't live without oxygen.	you ca n't live without house.						neutral
146	146	146	crowd:upward_monotone					every sentence in that book is important.	every sentence in that syllabus book is important.						neutral
147	147	147	crowd:upward_monotone					every sentence in that syllabus book is important.	every sentence in that book is important.						entailment
148	148	148	crowd:upward_monotone:lexical_knowledge					hysteria is no laughing matter.	frenzy is no laughing matter.						neutral
149	149	149	crowd:upward_monotone:lexical_knowledge					hysteria is no laughing matter.	wildness is no laughing matter.						neutral
150	150	150	crowd:upward_monotone					all is in the hands of man, therefore wash them often.	all is in the hands of different entity, therefore wash them often.						neutral
151	151	151	crowd:upward_monotone					all is in the hands of man, therefore wash them often.	they will always be in the hands of man.						neutral
152	152	152	crowd:upward_monotone					some flowers bloom in spring and others in autumn.	some rose flowers bloom in spring and others in autumn.						neutral
153	153	153	crowd:upward_monotone:lexical_knowledge					things did n't go well.	that stuff did n't go well.						neutral
154	154	154	crowd:upward_monotone					all the players were in position.	all the players were in defending position.						neutral
155	155	155	crowd:upward_monotone					all the players were in defending position.	all the players were in position.						entailment
156	156	156	crowd:upward_monotone:lexical_knowledge					all the players were in position.	all the players were in its place.						neutral
157	157	157	crowd:upward_monotone:lexical_knowledge:reverse					life can not exist without water.	forests can not exist without water.						neutral
158	158	158	crowd:upward_monotone:lexical_knowledge:reverse					life can not exist without water.	the rivers can not exist without water.						neutral
159	159	159	crowd:upward_monotone:lexical_knowledge:reverse					life can not exist without water.	the sea can not exist without water.						neutral
160	160	160	crowd:upward_monotone:conjunction					wet firewood does n't burn well.	wet firewood and carbon does n't burn well.						neutral
161	161	161	crowd:upward_monotone:conjunction					wet firewood and carbon does n't burn well.	wet firewood does n't burn well.						entailment
162	162	162	crowd:upward_monotone:lexical_knowledge					i have french nationality but vietnamese origins.	i have french nationality, but jewish blood flows in me.						neutral
163	163	163	crowd:upward_monotone:lexical_knowledge					i have french nationality but vietnamese origins.	i have french nationality, but my father is from guinea.						neutral
164	164	164	crowd:upward_monotone					all the schools are closed on that holiday.	all the schools are closed on that summer holiday.						neutral
165	165	165	crowd:upward_monotone					all the schools are closed on that holiday.	all the schools are closed on that thanksgiving holiday.						neutral
166	166	166	crowd:upward_monotone:lexical_knowledge					it is a great pity that you do n't know it.	it is a great person on the inside.						neutral
167	167	167	crowd:downward_monotone:lexical_knowledge					that was a fight which had no chance of a successful outcome.	that was a dilemma which had no chance of a successful outcome.						neutral
168	168	168	crowd:upward_monotone:lexical_knowledge					he expressed his opinion in a few words.	he expressed his opinion in a few paragraphs.						neutral
169	169	169	crowd:upward_monotone					tom swims every other day.	tom swims in pool every other day.						neutral
170	170	170	crowd:upward_monotone					tom swims in pool every other day.	tom swims every other day.						entailment
171	171	171	crowd:upward_monotone					tom swims every other day.	tom swims freestyle every other day.						neutral
172	172	172	crowd:upward_monotone:lexical_knowledge					tom goes to bed at the same time every night.	tom goes to cook to drink water at the same time every night.						neutral
173	173	173	crowd:upward_monotone:lexical_knowledge					tom goes to bed at the same time every night.	tom goes to the shower at the same time every night.						neutral
174	174	174	crowd:upward_monotone:lexical_knowledge					tom goes to bed at the same time every night.	tom goes to garage at the same time every night.						neutral
175	175	175	crowd:upward_monotone:lexical_knowledge					tom goes to bed at the same time every night.	tom goes to barn at the same time every night.						neutral
176	176	176	crowd:upward_monotone					tom goes to bed at the same time every night.	tom goes to rachel's bed at the same time every night.						neutral
177	177	177	crowd:upward_monotone					a squirrel is taking a bath in the pond.	a squirrel in summer is taking a bath in the pond.						neutral
178	178	178	crowd:upward_monotone					a squirrel in summer is taking a bath in the pond.	a squirrel is taking a bath in the pond.						entailment
179	179	179	crowd:downward_monotone					tom and mary were speaking to each other in a language i did n't recognize.	tom and mary were speaking to each other in a recognizable language i did n't recognize.						neutral
